matchup_id,game_id,model,prompt_file,random_player_defection_prob,nice_factor,forgiving_factor,retaliatory_factor,troublemaking_factor,emulative_factor
0,0,qwen3.5:9b,prompts/baseline.json,0.0,0.0,,,0.1,0.898989898989899
1,0,qwen3.5:9b,prompts/baseline.json,0.034482758620689655,1.0,0.375,0.3333333333333333,0.32989690721649484,0.6565656565656566
2,0,qwen3.5:9b,prompts/baseline.json,0.06896551724137931,1.0,0.6666666666666666,0.2,0.031578947368421054,0.9292929292929293
3,0,qwen3.5:9b,prompts/baseline.json,0.10344827586206896,1.0,1.0,0.16666666666666666,0.010638297872340425,0.9393939393939394
4,0,qwen3.5:9b,prompts/baseline.json,0.13793103448275862,1.0,1.0,0.0,0.03333333333333333,0.8686868686868687
5,0,qwen3.5:9b,prompts/baseline.json,0.1724137931034483,1.0,0.95,0.17647058823529413,0.1125,0.7575757575757576
6,0,qwen3.5:9b,prompts/baseline.json,0.20689655172413793,1.0,0.45714285714285713,0.3076923076923077,0.4050632911392405,0.5656565656565656
7,0,qwen3.5:9b,prompts/baseline.json,0.24137931034482757,1.0,0.9411764705882353,0.14285714285714285,0.2857142857142857,0.6262626262626263
8,0,qwen3.5:9b,prompts/baseline.json,0.27586206896551724,1.0,0.5333333333333333,0.1875,0.21794871794871795,0.696969696969697
9,0,qwen3.5:9b,prompts/baseline.json,0.3103448275862069,1.0,0.46153846153846156,0.17647058823529413,0.2702702702702703,0.6262626262626263
10,0,qwen3.5:9b,prompts/baseline.json,0.3448275862068966,1.0,0.296875,0.42857142857142855,0.7377049180327869,0.3939393939393939
11,0,qwen3.5:9b,prompts/baseline.json,0.3793103448275862,1.0,0.45,0.19047619047619047,0.5932203389830508,0.3939393939393939
12,0,qwen3.5:9b,prompts/baseline.json,0.41379310344827586,1.0,0.5192307692307693,0.43478260869565216,0.4745762711864407,0.5151515151515151
13,0,qwen3.5:9b,prompts/baseline.json,0.4482758620689655,1.0,0.15,0.6153846153846154,0.6909090909090909,0.5454545454545454
14,0,qwen3.5:9b,prompts/baseline.json,0.48275862068965514,1.0,0.36065573770491804,0.5,0.4074074074074074,0.5959595959595959
15,0,qwen3.5:9b,prompts/baseline.json,0.5172413793103449,1.0,0.3582089552238806,0.25,0.48148148148148145,0.5656565656565656
16,0,qwen3.5:9b,prompts/baseline.json,0.5517241379310345,1.0,0.20512820512820512,0.4666666666666667,0.5454545454545454,0.6262626262626263
17,0,qwen3.5:9b,prompts/baseline.json,0.5862068965517241,0.0,0.24358974358974358,0.4666666666666667,0.6458333333333334,0.5555555555555556
18,0,qwen3.5:9b,prompts/baseline.json,0.6206896551724138,0.0,0.2345679012345679,0.375,0.7560975609756098,0.5353535353535354
19,0,qwen3.5:9b,prompts/baseline.json,0.6551724137931034,1.0,0.08791208791208792,0.7142857142857143,0.8529411764705882,0.6565656565656566
20,0,qwen3.5:9b,prompts/baseline.json,0.6896551724137931,1.0,0.11827956989247312,0.8,0.8285714285714286,0.6363636363636364
21,0,qwen3.5:9b,prompts/baseline.json,0.7241379310344828,0.0,0.16483516483516483,0.7333333333333333,0.875,0.6060606060606061
22,0,qwen3.5:9b,prompts/baseline.json,0.7586206896551724,1.0,0.11578947368421053,0.7142857142857143,0.75,0.7474747474747475
23,0,qwen3.5:9b,prompts/baseline.json,0.7931034482758621,1.0,0.14583333333333334,0.5,0.8125,0.7272727272727273
24,0,qwen3.5:9b,prompts/baseline.json,0.8275862068965517,1.0,0.1134020618556701,0.7692307692307693,0.8666666666666667,0.7676767676767676
25,0,qwen3.5:9b,prompts/baseline.json,0.8620689655172413,1.0,0.13541666666666666,0.9333333333333333,0.7,0.8181818181818182
